Days,ID,treat,Plant,Mandarin,WT,DO,OSS,TN,DTN,TP,DTP,Chl,CH4,CO2,ChlTN,ChlTP,Carpbiomass,Mandarinbiomass,Carpnumber,Daphnia,Cladoceran,Copepod,Rotifer,Total,Phytoplankton,zppp,Cyanophyta,Bacillariophyta,Pyrrophyta,Chrysophyta,Cryptophyta,Euglenophyta,Chlorophyta,Cla,Cop,Rot,Zoopsize
6,6,LPMP,Low,Present,22.8,4.44,1.8,0.63,0.56,0.0123,0.0074,6.1,2.169128,-200.6681035,9.682539683,495.9349593,,,,,,,,,,,,,,,,,,,,,
6,7,HPMA,High,Absent,22.7,5.12,3.6,0.6,0.41,0.0125,0.0072,10,1.825911,-205.7543103,16.66666667,800,,,,,,,,,,,,,,,,,,,,,
6,10,HPMA,High,Absent,23.1,4.57,2.2,0.54,0.45,0.0127,0.0109,7.3,1.3982281,-203.735119,13.51851852,574.8031496,,,,,,,,,,,,,,,,,,,,,
6,11,HPMA,High,Absent,23,4.68,2.6,0.63,0.48,0.0143,0.0075,8.4,1.6707932,-199.8760331,13.33333333,587.4125874,,,,,,,,,,,,,,,,,,,,,
6,8,HPMP,High,Present,23,4.24,2.6,0.64,0.53,0.0136,0.0089,7.5,1.3259278,-199.8161034,11.71875,551.4705882,,,,,,,,,,,,,,,,,,,,,
6,9,HPMP,High,Present,22.9,4.51,2.8,0.7,0.43,0.014,0.0084,7.5,2.294391,-176.4662028,10.71428571,535.7142857,,,,,,,,,,,,,,,,,,,,,
6,12,HPMP,High,Present,22.9,4.66,2.8,0.65,0.53,0.0158,0.0114,7.9,1.6471955,-113.2001989,12.15384615,500,,,,,,,,,,,,,,,,,,,,,
9,1,LPMA,Low,Absent,23.3,6.31,4.4,0.65,0.55,0.0134,0.0084,10.6,2.0849138,-226.7704741,16.30769231,865.6716418,,,,,,,,,,,,,,,,,,,,,
9,2,LPMA,Low,Absent,23.3,5.88,4.4,0.71,0.58,0.0119,0.0063,8.6,1.4841112,-200.1328203,12.11267606,806.7226891,,,,,,,,,,,,,,,,,,,,,
9,4,LPMA,Low,Absent,23.4,5.62,2,0.81,0.64,0.0111,0.0072,8.7,2.0519397,-198.9116379,10.74074074,693.6936937,,,,,,,,,,,,,,,,,,,,,
9,3,LPMP,Low,Present,23.4,4.26,1.6,0.55,0.48,0.0114,0.008,6.6,1.4212945,-112.9664179,12,578.9473684,,,,,,,,,,,,,,,,,,,,,
9,5,LPMP,Low,Present,23.5,4.22,1.2,0.55,0.51,0.0108,0.0068,5.2,1.6698276,-264.2241379,9.454545455,481.4814815,,,,,,,,,,,,,,,,,,,,,
9,6,LPMP,Low,Present,23.4,4.35,1.6,0.63,0.59,0.0107,0.0064,5.8,1.7429259,-162.7449352,9.206349206,542.0560748,,,,,,,,,,,,,,,,,,,,,
9,7,HPMA,High,Absent,23.5,5.11,4.4,0.87,0.46,0.0131,0.006,9.8,1.855819,-158.2704741,11.26436782,748.0916031,,,,,,,,,,,,,,,,,,,,,
9,10,HPMA,High,Absent,23.4,4.35,2.8,0.56,0.49,0.011,0.0063,6.5,1.2376242,-173.9704666,11.60714286,590.9090909,,,,,,,,,,,,,,,,,,,,,
9,11,HPMA,High,Absent,23.5,4.69,2.8,0.69,0.45,0.0186,0.0056,7.2,1.93432412,-195.6585346,10.43478261,387.0967742,,,,,,,,,,,,,,,,,,,,,
9,8,HPMP,High,Present,23.6,4.58,2.2,0.89,0.48,0.0148,0.006,7.4,1.94157514,-206.3017384,8.314606742,500,,,,,,,,,,,,,,,,,,,,,
9,9,HPMP,High,Present,23.6,4.69,4.4,0.75,0.56,0.017,0.007,8.7,1.6643756,-231.2135641,11.6,511.7647059,,,,,,,,,,,,,,,,,,,,,
9,12,HPMP,High,Present,23.5,4.58,1.8,0.68,0.63,0.0124,0.0078,5.9,1.8698122,-116.3096619,8.676470588,475.8064516,,,,,,,,,,,,,,,,,,,,,
12,1,LPMA,Low,Absent,25.8,6.54,5,0.81,0.51,0.0157,0.0082,11.4,2.0989098,-249.5763132,14.07407407,726.1146497,,,,,,,,,,,,,,,,,,,,,
12,2,LPMA,Low,Absent,25.9,6.24,3.6,0.87,0.5,0.0157,0.0076,9.9,1.523771,-186.4075388,11.37931034,566.8789809,,,,,,,,,,,,,,,,,,,,,
12,4,LPMA,Low,Absent,25.8,6.05,2.4,0.56,0.47,0.0102,0.0064,9.3,1.6467229,-176.2624131,16.60714286,617.6470588,,,,,,,,,,,,,,,,,,,,,
12,3,LPMP,Low,Present,25.7,4.85,2,0.58,0.48,0.0121,0.0089,6.8,1.3973684,-84.9551809,11.72413793,561.9834711,,,,,,,,,,,,,,,,,,,,,
12,5,LPMP,Low,Present,26,4.76,1.8,0.76,0.59,0.0097,0.0074,5.8,1.6614124,-176.7010547,7.631578947,597.9381443,,,,,,,,,,,,,,,,,,,,,
12,6,LPMP,Low,Present,25.8,5.08,1.2,0.52,0.47,0.0084,0.006,6.1,1.5691145,-162.297428,11.73076923,726.1904762,,,,,,,,,,,,,,,,,,,,,
12,7,HPMA,High,Absent,25.9,5.06,5.8,0.67,0.45,0.0124,0.0061,9.5,1.1919223,-198.9980126,14.17910448,766.1290323,,,,,,,,,,,,,,,,,,,,,
12,10,HPMA,High,Absent,26,4.87,2,0.67,0.45,0.0118,0.006,6.2,1.8326511,-219.1154609,9.253731343,525.4237288,,,,,,,,,,,,,,,,,,,,,
12,11,HPMA,High,Absent,25.7,4.88,2.4,0.6,0.46,0.0156,0.005,7.6,1.7228171,-152.8953871,12.66666667,487.1794872,,,,,,,,,,,,,,,,,,,,,
12,8,HPMP,High,Present,25.8,4.85,1.8,0.62,0.48,0.0111,0.0054,6.4,1.5211623,-122.9792148,10.32258065,576.5765766,,,,,,,,,,,,,,,,,,,,,
12,9,HPMP,High,Present,25.9,5.06,4.2,0.78,0.44,0.0135,0.0045,9.5,1.4406219,-149.136229,12.17948718,703.7037037,,,,,,,,,,,,,,,,,,,,,
12,12,HPMP,High,Present,26,4.65,1.4,0.68,0.56,0.0117,0.0066,5.3,1.3614791,-245.2476104,7.794117647,452.991453,,,,,,,,,,,,,,,,,,,,,
15,1,LPMA,Low,Absent,26.5,6.89,7,0.67,0.54,0.0105,0.0044,12.9,2.2738056,-267.3801483,19.25373134,1228.571429,,,,,,,,,,,,,,,,,,,,,
15,2,LPMA,Low,Absent,26.6,5.38,2.6,0.84,0.61,0.0124,0.0046,8.2,1.5221034,-251.3137755,9.761904762,661.2903226,,,,,,,,,,,,,,,,,,,,,
15,4,LPMA,Low,Absent,26.4,5.36,3.4,0.5,0.44,0.0078,0.004,8.4,2.1363411,-213.4394589,16.8,1076.923077,,,,,,,,,,,,,,,,,,,,,
15,3,LPMP,Low,Present,26.5,4.88,1.8,0.53,0.44,0.0087,0.0052,6.3,1.8139393,-122.3173045,11.88679245,724.137931,,,,,,,,,,,,,,,,,,,,,
15,5,LPMP,Low,Present,26.5,4.79,1,0.57,0.48,0.0069,0.0057,4.9,1.965028,-196.7795282,8.596491228,710.1449275,,,,,,,,,,,,,,,,,,,,,
15,6,LPMP,Low,Present,26.4,5.07,1.2,0.46,0.43,0.0076,0.0034,5.6,1.5604216,-168.6903503,12.17391304,736.8421053,,,,,,,,,,,,,,,,,,,,,
15,7,HPMA,High,Absent,26.5,5.39,4.4,0.7,0.46,0.0099,0.0079,8.6,1.8413366,-167.6856436,12.28571429,868.6868687,,,,,,,,,,,,,,,,,,,,,
15,10,HPMA,High,Absent,26.6,5.21,2.8,0.6,0.49,0.0083,0.0041,7,1.69244113,-184.4860928,11.66666667,843.373494,,,,,,,,,,,,,,,,,,,,,
15,11,HPMA,High,Absent,26.6,4.54,1.4,0.55,0.41,0.0074,0.0045,5.9,1.7810855,-242.2594572,10.72727273,797.2972973,,,,,,,,,,,,,,,,,,,,,
